net,length_um
net422,3304.39
decoder.rf.ram\[22\]\[29\],3298.9
_03478_,3293.71
_03003_,3291.78
net2007,3290.975
_03762_,3289.03
_02783_,3287.96
_03243_,3287.16
net1265,3284.85
decoder.rf.ram\[24\]\[4\],3282.66
decoder.rf.ram\[1\]\[31\],3282.39
_01084_,3282.26
_03433_,3279.25
_02644_,3277.18
decoder.rf.ram\[21\]\[19\],3270.825
_03040_,3269.095
decoder.rf.ram\[8\]\[27\],3268.49
_00682_,3267.11
net1843,3255.815
_02251_,3255.34
_00158_,3255.08
decoder.rf.ram\[19\]\[27\],3254.61
decoder.rf.ram\[22\]\[20\],3254.07
decoder.rf.ram\[31\]\[27\],3250.98
_01062_,3250.28
decoder.rf.ram\[15\]\[12\],3249.77
_02562_,3249.72
net739,3248.415
_03479_,3245.11
_02094_,3243.08
_00280_,3241.705
decoder.rf.ram\[23\]\[10\],3240.195
net2036,3240.02
net549,3233.31
decoder.rf.ram\[6\]\[22\],3231.78
_00560_,3231.4
_00145_,3228.44
_01023_,3225.9
decoder.rf.ram\[13\]\[4\],3225.54
_03055_,3223
_01046_,3220.36
decoder.rf.ram\[1\]\[12\],3220.36
net2099,3220.21
_03742_,3219.12
net1809,3217.8
_00547_,3215.26
net138,3211.76
_00731_,3211.46
net1944,3210.24
net1173,3208
decoder.rf.ram\[9\]\[17\],3206.94
net1497,3206.9
_03295_,3204.42
_00563_,3203.84
net1372,3203.58
net36,3201.015
decoder.rf.ram\[25\]\[10\],3200.45
net1971,3199.965
_02048_,3199.05
_00306_,3198.52
net1840,3192.98
_01130_,3191.8
decoder.rf.ram\[31\]\[12\],3190.91
_01166_,3190.27
decoder.rf.ram\[25\]\[11\],3189.15
net1828,3188.26
decoder.rf.ram\[21\]\[10\],3186.86
_00874_,3186.72
_04433_,3186.64
_00515_,3186.1
net506,3184.22
net1898,3184.015
decoder.rf.ram\[10\]\[27\],3183.39
_00169_,3176.745
net1280,3176.54
_01695_,3176.46
net1997,3175.38
decoder.rf.ram\[3\]\[4\],3175.04
decoder.rf.ram\[29\]\[1\],3175.035
net1992,3171.14
decoder.rf.ram\[6\]\[26\],3169.36
decoder.rf.ram\[4\]\[27\],3168.34
net1579,3167.63
net637,3167.48
net1836,3166.62
net1757,3166.18
net1730,3165.9
_04309_,3164.555
net1481,3163.7
net1914,3163.36
_00430_,3162.16
decoder.inst\[17\],3161.86
_03048_,3157.63
_02518_,3156.5
_02947_,3156.39
_03098_,3154
decoder.rf.ram\[23\]\[12\],3153.96
net1866,3153.12
decoder.rf.ram\[23\]\[27\],3152.38
decoder.rf.ram\[12\]\[0\],3151.78
_00255_,3151.13
net279,3150.48
net1786,3149.85
net1761,3149.32
net1573,3148.875
_01078_,3148.62
_00146_,3147.33
_03423_,3146.375
decoder.rf.ram\[6\]\[20\],3146.36
decoder.rf.ram\[17\]\[15\],3146.35
_02628_,3145.15
net10,3144.72
net1248,3142.91
_04448_,3141.72
decoder.rf.ram\[4\]\[16\],3141.57
_03709_,3141.12
_04268_,3140.38
_01296_,3137.26
_03350_,3136.58
_00434_,3135.92
net1129,3134.76
net1621,3134.475
net149,3133.36
decoder.rf.ram\[2\]\[23\],3131.42
net1875,3130.72
_03416_,3127.96
net82,3127.295
net1967,3125.875
net1969,3125.6
_00070_,3125.48
_02941_,3124.71
net1920,3124.125
net1856,3122.38
_03115_,3122.11
_00130_,3121.7
_00246_,3121.12
net1323,3120.81
net964,3120.66
net1591,3118.41
_01452_,3118
_03408_,3117.18
net1142,3116.2
net1414,3112.74
net1957,3110.26
_03310_,3110.18
decoder.rf.ram\[25\]\[20\],3109.89
decoder.rf.ram\[27\]\[23\],3109.77
net1420,3109.55
net1906,3108.665
net1745,3106.85
net1845,3106.17
net972,3105.61
net1612,3104.44
_02122_,3103.72
decoder.rf.ram\[11\]\[24\],3103.47
_04134_,3103.12
decoder.rf.ram\[31\]\[8\],3102.62
_03546_,3101.26
net1901,3100.94
net1822,3100.18
net1783,3098.8
decoder.rf.ram\[26\]\[23\],3098.59
net1766,3098.32
_00819_,3096.95
_02747_,3096.76
net1599,3096.05
decoder.rf.ram\[1\]\[8\],3095.5
_00371_,3094.1
net848,3093.65
net415,3093.4
net891,3092.85
_04023_,3092.25
net1528,3091.82
net1334,3091.68
decoder.rf.ram\[2\]\[31\],3091.325
net1867,3091.14
net1932,3090.69
net1464,3090.64
decoder.rf.ram\[20\]\[29\],3089.88
net906,3088.93
net1773,3088.8
net240,3088.64
_02965_,3088.38
net1908,3086.43
net1740,3086
_00446_,3084.96
_02083_,3084.41
decoder.rf.ram\[1\]\[16\],3083.95
decoder.rf.ram\[19\]\[20\],3083.94
net1800,3083.6
net1776,3083.12
net1858,3081.805
net1759,3081.76
net894,3081.515
net1891,3081.445
net1791,3081.225
net935,3080.32
_02168_,3080.15
net1594,3079.82
net598,3079.56
decoder.rf.ram\[2\]\[16\],3078.01
net1731,3076.375
_00834_,3076.165
decoder.rf.ram\[5\]\[1\],3074.6
net1951,3074.18
decoder.rf.ram\[11\]\[15\],3073.98
net2010,3073.18
net1784,3072
decoder.rf.ram\[11\]\[5\],3071.6
_03812_,3071.435
_03925_,3070.91
net1244,3069.78
net1831,3069.72
decoder.rf.ram\[15\]\[25\],3067.17
decoder.rf.ram\[17\]\[6\],3066.82
decoder.rf.ram\[28\]\[4\],3066.73
net1461,3066.725
net1737,3065.3
net1489,3064.99
_01687_,3060.68
_02823_,3060.06
net1738,3060.04
_00439_,3058.88
net1900,3058.575
net488,3058.485
_00190_,3058.295
_03861_,3057.96
_00836_,3057.755
_00844_,3057.6
net844,3057.02
net1558,3056.35
net1883,3056.1
net244,3056.09
net1570,3053.36
net1888,3052.565
decoder.rf.ram\[9\]\[12\],3052.1
net1769,3051.72
_01301_,3050.205
net1915,3049.53
decoder.rf.ram\[17\]\[19\],3048.435
net1842,3048.1
net290,3047.57
decoder.rf.ram\[26\]\[18\],3047.34
_04347_,3047.29
_04414_,3046.45
net514,3046.24
net1746,3046.23
net969,3045.46
_03869_,3045.23
_01570_,3043.74
net150,3043.4
net1887,3043.36
net1452,3042.54
net1421,3042.525
decoder.rf.ram\[17\]\[17\],3041.655
decoder.rf.ram\[4\]\[26\],3040.735
net1922,3040.28
net1873,3038.69
net777,3038.66
net1748,3037.37
decoder.rf.ram\[9\]\[26\],3037.295
net1917,3035.95
net1781,3035.73
net1022,3035.72
net1753,3035.36
_00643_,3035.01
_00540_,3034.72
decoder.rf.ram\[12\]\[3\],3033.82
net1872,3033.65
_01811_,3033.615
net1911,3032.93
net976,3032.145
net1617,3031.97
net1253,3030.9
net669,3030.755
_00824_,3030.74
net770,3030.38
_04453_,3028.87
_01379_,3027.34
_03085_,3027.2
decoder.rf.ram\[29\]\[22\],3027.09
decoder.rf.ram\[0\]\[19\],3026.68
net1601,3026.21
_03672_,3025.96
net1446,3025.06
_02398_,3025.05
net1555,3024.705
net1257,3024.66
_00558_,3024.56
net1246,3024.3
decoder.rf.ram\[15\]\[24\],3024.16
net1747,3024.08
net1764,3023.93
_01038_,3022.17
