net,length_um
ram\[29\]\[20\],3125.69
ram\[2\]\[23\],3124.78
net321,3123.94
net1243,3123.22
_2881_,3121.08
net797,3121.03
_0641_,3117.97
ram\[14\]\[11\],3115.44
_0339_,3112.7
net207,3112.32
_1523_,3109.56
net908,3109.18
_3740_,3109.11
net798,3106.81
_3035_,3106.5
_3368_,3106.12
_0599_,3105.89
ram\[15\]\[10\],3104.82
ram\[23\]\[0\],3103.99
_1677_,3103.5
_3616_,3101.89
net948,3101.66
net120,3100.71
_0562_,3099.28
net949,3099.22
net126,3098.715
net151,3098.4
_2787_,3098.26
_0705_,3097.76
net119,3097.075
ram\[8\]\[24\],3096.96
ram\[13\]\[17\],3096.625
_3556_,3096.36
_0117_,3095.16
ram\[16\]\[31\],3092.23
ram\[0\]\[18\],3089.92
net922,3088.63
net879,3086.92
_3257_,3083.92
net246,3083.76
ram\[31\]\[2\],3083.3
net266,3083.14
ram\[30\]\[18\],3082.48
net118,3082.36
net1014,3080.99
net297,3080.34
net1016,3076.635
net701,3076.395
ram\[9\]\[28\],3075.85
net734,3075.015
ram\[31\]\[10\],3074.6
net629,3071.06
net238,3070.9
_0330_,3069.78
_1038_,3069.55
ram\[20\]\[17\],3068.92
_3660_,3068.28
net1054,3067.7
_3052_,3067.48
ram\[15\]\[11\],3067.18
net372,3067
ram\[0\]\[26\],3066.8
net275,3066.3
net1041,3065.79
ram\[7\]\[5\],3063.17
net1047,3062.49
net901,3061.75
_3007_,3060.24
_0524_,3060.175
net112,3059.74
net1006,3059.64
net1206,3058.5
ram\[25\]\[6\],3058.25
ram\[21\]\[5\],3057.91
ram\[0\]\[2\],3057.79
_3847_,3057.48
net950,3056.8
ram\[16\]\[15\],3056.38
net634,3056.2
ram\[4\]\[5\],3055.635
net404,3053.69
net1042,3053.48
_1575_,3053.12
net1139,3052.935
_0783_,3052.89
ram\[4\]\[11\],3052.77
_0021_,3051.875
net703,3051.865
ram\[8\]\[29\],3049.44
ram\[3\]\[27\],3046.8
net921,3042.66
ram\[8\]\[4\],3040.43
net1147,3040.01
ram\[19\]\[7\],3039.49
net1269,3038.86
net700,3038.345
ram\[7\]\[12\],3038.275
_2465_,3038.22
ram\[16\]\[12\],3038.18
ram\[9\]\[0\],3037.71
net602,3037.68
_0977_,3035.28
net741,3034.2
net1070,3033.77
ram\[30\]\[29\],3033.75
net1046,3033
net724,3032.18
net127,3031.44
ram\[28\]\[31\],3031.05
ram\[10\]\[1\],3029.41
_1574_,3026.63
ram\[19\]\[28\],3026.52
net249,3026.36
net907,3025.475
net1240,3025.25
ram\[20\]\[22\],3024.56
net377,3023.92
net920,3023.81
net449,3023.7
net738,3023.66
_0671_,3022.78
net630,3022.14
net307,3021.39
ram\[2\]\[18\],3019.82
net114,3019.44
_1878_,3018.84
net958,3017.74
ram\[10\]\[25\],3017.655
ram\[31\]\[17\],3017.4
_0142_,3016.34
net762,3015.23
ram\[10\]\[7\],3013.12
net1053,3012.74
_0200_,3012.5
ram\[26\]\[20\],3012.49
net123,3012.07
net993,3010.59
net484,3010.53
ram\[26\]\[18\],3010.28
net910,3009.445
_3410_,3008.06
_3205_,3007.94
net648,3007.13
_3155_,3007.04
net742,3006.84
_0430_,3006.35
ram\[21\]\[12\],3005.77
net134,3004.36
net933,3004.22
net689,3003.72
ram\[28\]\[15\],3002.06
ram\[27\]\[14\],3001.89
net971,3001.79
net113,3001.7
net1088,3001.2
net1193,3000.94
ram\[18\]\[3\],3000.295
net698,3000.28
_1705_,2999.74
net1069,2999.44
net633,2999.08
net1162,2998.86
ram\[6\]\[21\],2998.26
net846,2998.13
net111,2998.08
net860,2997.08
_3120_,2996.18
net1209,2995
net785,2994.44
net699,2994.34
net1058,2994.15
net1280,2994.05
_0884_,2993.78
net893,2992.84
net1024,2992.48
ram\[6\]\[10\],2992.175
ram\[29\]\[22\],2991.755
net627,2991.5
net433,2991.42
_0488_,2991.37
net548,2991.32
net605,2991.125
net909,2991.115
net1089,2990.47
_3711_,2990.1
net284,2989.66
net789,2989.66
net951,2989.3
_0336_,2988.81
net987,2987.86
_2224_,2987.7
_3244_,2987.42
ram\[23\]\[21\],2987.34
net193,2987.34
net1251,2987.26
net927,2985.5
net1180,2985.34
ram\[29\]\[19\],2985.1
net117,2985.08
_1102_,2984.24
net851,2984.16
_1552_,2982.34
ram\[30\]\[22\],2982.28
ram\[1\]\[21\],2981.89
